id;odr_adresse;odr_phonenumber;odr_price;odr_date;user_id
1;and bah;clog cheerfully lacquer;11958.62;2024-09-11T12:03:22;1
2;lovingly unequaled;gee oof;14213.28;2024-09-10T20:44:27;2
3;failing circa;wilted lost;11715.56;2024-09-10T16:38:10;2
4;next;offense;17820.98;2024-09-11T09:43:04;2
5;out exactly that;across hideous;12385.56;2024-09-10T15:07:29;1
6;refrain bidding reassign;boohoo tenderly expert;17656.59;2024-09-10T15:29:59;2
7;drat offensively photosynthesise;stove personal joyously;9993.57;2024-09-10T17:55:31;1
8;flippant equatorial successfully;vice;6558.81;2024-09-10T17:22:52;1
9;punctual brr;messenger;1322.37;2024-09-11T08:15:47;2
10;winkle finally revolving;under;909.89;2024-09-11T08:10:19;2
